Combined_ID,Year,How.happy.do.you.feel.right.now.,How.satisfied.are.you.with.your.life.in.general.,How.satisfied.are.you.with.Somerville.as.a.place.to.live.,In.general..how.similar.are.you.to.other.people.you.know._2011,When.making.decisions..are.you.more.likely.to.seek.advice.or.decide.for.yourself._2011.,How.satisfied.are.you.with.your.neighborhood.,How.proud.are.you.to.be.a.Somerville.resident._2015,How.would.you.rate.the.following..The.availability.of.information.about.city.services._2015,The.availability.of.affordable.housing_2011,How.would.you.rate.the.following..The.cost.of.housing.,How.would.you.rate.the.following..The.overall.quality.of.public.schools.in.your.community._2011,How.would.you.rate.the.following..The.overall.quality.of.public.schools.,How.would.you.rate.the.following..The.beauty.or.physical.setting_2011,How.would.you.rate.the.following..The.beauty.or.physical.setting.of.Somerville_2013,How.would.you.rate.the.following..The.effectiveness.of.the.local.police_2011_2013,How.would.you.rate.the.following..Your.trust.in.the.local.police_2015,How.would.you.rate.the.following..The.maintenance.of.streets..sidewalks..and..squares_2013,How.would.you.rate.the.following..The.maintenance.of.streets.and.sidewalks_2015,How.would.you.rate.the.following..The.availability.of.social.community.events,How.safe.do.you.feel.walking.in.your.neighborhood.at.night_2013,How.safe.do.you.feel.walking.in.your.community.at.night._2015,How.satisfied.are.you.with.the.beauty.or.physical.setting.of.your.neighborhood.,How.satisfied.are.you.with.the.appearance.of.parks.in.your.neighborhood._2013,How.satisfied.are.you.with.the.appearance.of.parks.and.squares.in.your.neighborhood.,What.is.your.sex.,What.is.your.gender._2011,Age.,Marital.status._2011,What.language..other.than.English..do.you.speak.at.home._2015,What.is.your.race_2011_2013,Are.you.of.Hispanic..Latino..or.Spanish.origin._2013,What.is.your.race.or.ethnicity._2015,Do.you.have.children.age.18.or.younger.who.live.with.you.,Describe.your.housing.status.in.Somerville.,Do.you.plan.to.move.away.from.Somerville.in.the.next.two.years.,How.long.have.you.lived.here.,What.is.your.annual.household.income.,What.neighborhood.do.you.live.in.,Are.you.a.student.,Ward,Precinct
4145,2011,8,8,7,6,7,NA,NA,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4146,2011,8,8,10,8,6,NA,NA,NA,4,NA,R,NA,5,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,18-21,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"Less than $10,000",NA,NA,NA,NA
4147,2011,8,8,8,9,4,NA,NA,NA,3,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"80,000 - $89,999",NA,NA,NA,NA
4148,2011,8,9,6,9,10,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"90,000 - $99,999",NA,NA,NA,NA
4149,2011,6,6,8,8,5,NA,NA,NA,3,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"70,000 - $79,999",NA,NA,NA,NA
4150,2011,8,9,9,9,6,NA,NA,NA,R,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4151,2011,8,8,9,10,2,NA,NA,NA,3,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"80,000 - $89,999",NA,NA,NA,NA
4152,2011,10,10,10,10,10,NA,NA,NA,R,NA,R,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
4153,2011,9,9,9,8,4,NA,NA,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
4155,2011,8,9,8,7,8,NA,NA,NA,3,NA,3.5,NA,3,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,R,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"40,000 - $49,999",NA,NA,NA,NA
4156,2011,3,6,2,6,3,NA,NA,NA,3,NA,R,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4157,2011,10,10,10,7,8,NA,NA,NA,3,NA,4,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,"Single, Never Married",NA,"White, Hispanic Origin",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4158,2011,4,4,7,4,8,NA,NA,NA,4,NA,R,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
4159,2011,8,8,8,8,1,NA,NA,NA,3,NA,R,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"90,000 - $99,999",NA,NA,NA,NA
4160,2011,8,9,8,8,6,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
4161,2011,7,7,7,6,4,NA,NA,NA,1,NA,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"40,000 - $49,999",NA,NA,NA,NA
4162,2011,1,1,9,6,4,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"30,000 - $39,999",NA,NA,NA,NA
4163,2011,9,9,9,8,3,NA,NA,NA,2,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,R,NA,NA,NA,NA
4164,2011,9,8,8,8,6,NA,NA,NA,2,NA,R,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4165,2011,R,R,R,R,R,NA,NA,NA,1,NA,1,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,41-50,R,NA,R,NA,NA,NA,NA,NA,6-11 Years,R,NA,NA,NA,NA
4166,2011,8,8,7,3,9,NA,NA,NA,3,NA,R,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
4167,2011,9,9,8,7,9,NA,NA,NA,4,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"30,000 - $39,999",NA,NA,NA,NA
4168,2011,5,5,6,7,5,NA,NA,NA,2,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,Married,NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,0-5 Years,"10,000 - $19,999",NA,NA,NA,NA
4169,2011,6,6,7,6,9,NA,NA,NA,1,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,R,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,R,NA,NA,NA,NA
4170,2011,7,10,10,4,6,NA,NA,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,51-60,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"70,000 - $79,999",NA,NA,NA,NA
4171,2011,6,6,6,7,7,NA,NA,NA,2,NA,2,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
4172,2011,6,6,8,6,10,NA,NA,NA,3,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"80,000 - $89,999",NA,NA,NA,NA
4173,2011,5,4,8,5,4.5,NA,NA,NA,5,NA,4,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
4174,2011,9,9,9,9,10,NA,NA,NA,4,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4175,2011,10,10,10,10,10,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,R,NA,NA,NA,NA
4176,2011,R,R,7,R,R,NA,NA,NA,2,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
4177,2011,8,8,8,8,1,NA,NA,NA,2,NA,2,NA,2,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"90,000 - $99,999",NA,NA,NA,NA
4178,2011,8,8,9,8,2,NA,NA,NA,3,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
4179,2011,9,9,9,6,8,NA,NA,NA,R,NA,r,NA,5,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"60,000 - $69,999",NA,NA,NA,NA
4180,2011,8,8,7,7,7,NA,NA,NA,1,NA,1,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
4181,2011,8,8,6,5,3,NA,NA,NA,4,NA,r,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4182,2011,8,9,7,3,9,NA,NA,NA,2,NA,1,NA,2,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,R,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,R,NA,NA,NA,NA
4183,2011,8,8,8,6,7,NA,NA,NA,3,NA,4,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"60,000 - $69,999",NA,NA,NA,NA
4184,2011,8,8,6,4,5,NA,NA,NA,4,NA,2,NA,1,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
4185,2011,5,5,7,5,10,NA,NA,NA,1,NA,2,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
4186,2011,9,9,9,5,7,NA,NA,NA,3,NA,R,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"80,000 - $89,999",NA,NA,NA,NA
4187,2011,8,9,R,9,9,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA
4188,2011,10,10,R,7,4,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA
4189,2011,8,6,8,7,6,NA,NA,NA,3,NA,2,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"20,000 - $29,999",NA,NA,NA,NA
4190,2011,10,10,2,6,6,NA,NA,NA,4,NA,2,NA,1,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
4191,2011,6,7,6,9,9,NA,NA,NA,1,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4192,2011,10,10,8,10,10,NA,NA,NA,2,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"30,000 - $39,999",NA,NA,NA,NA
4193,2011,6,9,4,7,9,NA,NA,NA,2,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
4194,2011,9,8,9,6,1,NA,NA,NA,2,NA,3,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"10,000 - $19,999",NA,NA,NA,NA
4195,2011,8,8,8,7,6,NA,NA,NA,3,NA,4,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4196,2011,4,6,7,4,8,NA,NA,NA,4,NA,5,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"20,000 - $29,999",NA,NA,NA,NA
4197,2011,10,8,10,8,7,NA,NA,NA,3,NA,R,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
4198,2011,8,8,9,9,4,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,R,"Single, Never Married",NA,"White, Hispanic Origin",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4199,2011,7,9,7,8,8,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4200,2011,10,10,R,1,10,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA
4201,2011,6,7,4,6,5,NA,NA,NA,3,NA,R,NA,2,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"30,000 - $39,999",NA,NA,NA,NA
4202,2011,9,9,10,7,9,NA,NA,NA,3,NA,5,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
4203,2011,8,8,7,2,10,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,Asian/Pacific Islander,NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
4204,2011,10,10,10,10,10,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
4205,2011,9,9,R,4,9,NA,NA,NA,R,NA,R,NA,R,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,R,R,R,NA,R,NA,NA,NA,NA,NA,R,R,NA,NA,NA,NA
4206,2011,7,7,10,7,10,NA,NA,NA,4,NA,4,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
4207,2011,7,8,10,6,9,NA,NA,NA,5,NA,R,NA,4,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4208,2011,4,4,8,4,6,NA,NA,NA,R,NA,R,NA,R,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,R,NA,NA,NA,NA,NA,18+,R,NA,NA,NA,NA
4209,2011,3,8,7,5,1,NA,NA,NA,2,NA,3,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"90,000 - $99,999",NA,NA,NA,NA
4210,2011,8,8,8,8,7,NA,NA,NA,2,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4211,2011,8,8,7,6,7,NA,NA,NA,1,NA,2,NA,3,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,41-50,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
4212,2011,7,8,7,7,6,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"40,000 - $49,999",NA,NA,NA,NA
4213,2011,8,9,8,6,7,NA,NA,NA,3,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
4214,2011,5,5,8,4,5,NA,NA,NA,2,NA,3,NA,2,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Divorced,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
4215,2011,7,8,10,8,8,NA,NA,NA,5,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4216,2011,10,10,10,6,10,NA,NA,NA,4,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"50,000 - $59,999",NA,NA,NA,NA
4217,2011,7,7,8,5,3,NA,NA,NA,1,NA,2,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"60,000 - $69,999",NA,NA,NA,NA
4218,2011,8,8,8,7,8,NA,NA,NA,3,NA,R,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4219,2011,9,10,9,6,7,NA,NA,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
4220,2011,9,10,9,6,7,NA,NA,NA,4,NA,3,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"50,000 - $59,999",NA,NA,NA,NA
4221,2011,9,9,8,9,7,NA,NA,NA,4,NA,4,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
4222,2011,8,8,8,7,4,NA,NA,NA,2,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,R,NA,NA,NA,NA
4223,2011,10,10,9,3,8,NA,NA,NA,3,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,R,NA,NA,NA,NA,NA,0-5 Years,"80,000 - $89,999",NA,NA,NA,NA
4224,2011,8,9,7,9,8,NA,NA,NA,3,NA,R,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"100,000 and up",NA,NA,NA,NA
4225,2011,9,9,10,9,7,NA,NA,NA,3,NA,5,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,61+,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"100,000 and up",NA,NA,NA,NA
4226,2011,10,10,9,8,7,NA,NA,NA,3,NA,R,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4227,2011,8,8,7,6,5,NA,NA,NA,2,NA,3,NA,4,NA,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,41-50,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,R,"100,000 and up",NA,NA,NA,NA
4228,2011,8,8,8,8,10,NA,NA,NA,2,NA,4,NA,4,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,Widowed,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"20,000 - $29,999",NA,NA,NA,NA
4229,2011,7,7,8,R,5,NA,NA,NA,3,NA,R,NA,3,NA,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,12-17 Years,"100,000 and up",NA,NA,NA,NA
4230,2011,10,10,7,7,8,NA,NA,NA,2,NA,R,NA,3,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,6-11 Years,"100,000 and up",NA,NA,NA,NA
4231,2011,10,10,10,10,10,NA,NA,NA,5,NA,5,NA,5,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,61+,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,18+,"10,000 - $19,999",NA,NA,NA,NA
4232,2011,8,8,4,8,7,NA,NA,NA,3,NA,4,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,51-60,"Single, Never Married",NA,African-American,NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4233,2011,5,5,5,5,5,NA,NA,NA,3,NA,3,NA,3,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"Less than $10,000",NA,NA,NA,NA
4234,2011,8,9,8,8,5,NA,NA,NA,4,NA,2,NA,2,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,31-40,Married,NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"70,000 - $79,999",NA,NA,NA,NA
4235,2011,8,7,8,3,2,NA,NA,NA,3,NA,5,NA,4,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,22-25,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4236,2011,7,7,9,6,8,NA,NA,NA,5,NA,5,NA,4,NA,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,31-40,"Single, Never Married",NA,"White, Hispanic Origin",NA,NA,NA,NA,NA,0-5 Years,"60,000 - $69,999",NA,NA,NA,NA
4237,2011,6,4,5,7,4,NA,NA,NA,4,NA,R,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Female,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,"40,000 - $49,999",NA,NA,NA,NA
4238,2011,7,7,8,8,6,NA,NA,NA,2,NA,3.5,NA,3,NA,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Male,26-30,"Single, Never Married",NA,"White, non-Hispanic",NA,NA,NA,NA,NA,0-5 Years,R,NA,NA,NA,NA
